&	and (conj. & adv.)
Arğure	Artur (n.)
Arğuren	Artur (n.)
Arğures	Artur (n.)
are	a (indef.art.)
are	er (conj.1)
are	er (conj.2)
are	er (prep.)
arecchen	arecchen (v.)
aredde	areden (v.2)
aredden	areden (v.2)
arede	areden (v.1)
areden	aredden (v.)
areppen	arepen (v.)
arer	areren (v.)
a-reræd	areren (v.)
arerde	areren (v.)
arere	areren (v.)
arereğ	areren (v.)
areren	areren (v.)
arewen	arwe (n.)
Argal	Argal (n.)
Argale	Argal (n.)
Argales	Argal (n.)
Argante	Argante (n.)
arhğe	arghthe (n.)
a-riht	a-right (adv.)
arimed	arimen (v.)
arimen	arimen (v.)
Aris	arisen (v.)
arise	arisen (v.)
ariseğ	arisen (v.)
arisen	arisen (v.)
ariued	ariven (v.)
Arkinaus	Arkinaus (n.)
arle	erl (n.)
armen	armes (n. (pl.)
armes	armes (n. (pl.)
armite	heremit(e (n.)
armliche	armlich (adj.)
armliche	armliche (adv.)
Armoriche	Armorica (n.)
Armorichen	Armorica (n.)
arnde	rennen (v.2)
arnden	rennen (v.2)
arndien	ernden (v.)
arnes	ern (n.1)
aros	arisen (v.)
Arrabie	Arabi (n. & adj.)
arst	er (adv.)
art	ben (v.)
Arthure	Artur (n.)
arudden	arudden (v.)
arude	aredden (v.)
Aruiragun	Ariviragus (n.)
Aruiragune	Ariviragus (n.)
Aruiragus	Ariviragus (n.)
arumğe	arumğe (adv.)
arunde	erend(e (n.)
arwe	arwe (n.)
arwen	arwe (n.)
Ascanius	Ascanius (n.)
a-sceken	asceken (ppl.)
Asclepediot	Asclepidiot (n.)
Asclepidiot	Asclepidiot (n.)
Asclipidiot	Asclepidiot (n.)
ase	as (conj.)
asechen	asechen (v.)
aseingde	asinken (v.)
a-set	asitten (v.1)
askede	asken (v.)
a-slæ?e	aslen (v.)
aslæ?en	aslen (v.)
aslæn	aslen (v.)
aslan	aslen (v.)
a-slan	aslen (v.)
aslepe	aslepe (adv.1)
asloğ	aslen (v.)
aslo?	aslen (v.)
a-slo?e	aslen (v.)
a-slo?en	aslen (v.)
Asor	Asor (n.)
Assarac	Assarac (n.)
Assaracum	Assarac (n.)
Assaracun	Assarac (n.)
Assaracus	Assarac (n.)
Asscanius	Ascanius (n.)
a-stæh	astien (v.)
astald	astellen (v.)
a-stald	astellen (v.)
astalde	astellen (v.)
astalden	astellen (v.)
a-stalden	astellen (v.)
astalled	astellen (v.)
astalleden	astellen (v.)
a-sti?en	astien (v.)
astod	astonden (v.)
astolled	astellen (v.)
Astrild	Astrild (n.)
Astronomie	astronomie (n.1)
astured	astiren (v.)
a-sturte	astiren (v.)
aswac	aswiken (v.)
asweote	aswote (adv.)
a-swike	aswiken (v.)
Aswikeğ	aswiken (v.)
aswint	aswinden (v.)
aswond	aswinden (v.)
aswunden	aswinden (v.)
a-swunden	aswinden (v.)
at	at (adv. & prep.)
at	at (adv. with inf.)
at	at (prep.)
at-ærnden	at-rennen (v.)
at-arnden	at-rennen (v.)
at-arnede	at-rennen (v.)
at-bræc	at-breken (v.)
at-breac	at-breken (v.)
atcropene	atcropen (ppl.)
aten	ote (n.)
Atenor	Atenor (n.)
at-eoden	atgon (v.)
at-fallen	atfallen (v.)
at-faren	atfaren (v.)
at-fengen	atfengen (v. (p.t., pl.)
at-fleh	atflen (v.)
at-flowen	atflen (v.)
at-foren	atfaren (v.)
at-hælde	at-holden (v.)
at-halden	at-holden (v.)
at-heold	at-holden (v.)
at-heolden	at-holden (v.)
aşeostrede	aşestren (v.)
at-holde	at-holden (v.)
at-holden	at-holden (v.)
at-lağed	atlağed (ppl.)
atlede	atleden (v.)
atleden	atleden (v.)
atlen	atlen (v.)
atliche	atlichen (v.)
atlichen	atlichen (v.)
atlien	atlen (v.)
atlinge	atlinge (ger.)
ato?ene	aten (v.)
at-ræd	at-ræd (v. p.t.)
at-ran	at-rennen (v.)
at-sake	atsaken (v.)
at-sceken	asceken (ppl.)
at-sechen	atsechen (v.)
at-soken	atsaken (v.)
at-somne	atsomne (adv.)
at-sterte	at-sterten (v.)
at-stod	at-stonden (v.)
atstoden	at-stonden (v.)
at-stoden	at-stonden (v.)
atstonde	at-stonden (v.)
at-stonde	at-stonden (v.)
atstonden	at-stonden (v.)
at-stonden	at-stonden (v.)
at-stunt	at-stonden (v.)
at-sturte	at-sterten (v.)
atteliche	atelich (adj.)
atter	atter (n.)
attere	atter (n.)
atterne	atter (n.)
atterne	attern (adj.)
attlede	atleden (v.)
attre	atter (n.)
at-urnen	at-rennen (v.)
atwa	two (num.) + in
a-twa	atwo (adv.)
atwaie	two (num.) + in
atwailden	atwailden (v.)
atwam	two (num.) + in
at-wand	atwinden (v.)
atwendeğ	atwenden (v.)
at-wenden	atwenden (v.)
atweo	two (num.) + in
atweolfa	twelve (num.)
at-winden	atwinden (v.)
at-wit	atwinden (v.)
atwite	atwiten (v.)
at-witen	atwinden (v.)
a-two	atwo (adv.)
at-wond	atwinden (v.)
at-wunden	atwinden (v.)
auælled	afellen (v.)
auæred	afered (ppl.)
auæred	aferen (v.)
a-uæred	afered (ppl.)
a-uæred	aferen (v.)
aualde	afellen (v.)
a-ualle	afallen (v.)
a-ualled	afellen (v.)
auallen	afellen (v.)
Aualun	Avalon (n.)
Aualune	Avalon (n.)
Auared	afered (ppl.)
Auared	aferen (v.)
a-uared	afered (ppl.)
auelde	afellen (v.)
Auelin	Evelin (n.)
auen	eve(n (n.)
Auene	Avon (n.)
aueng	afon (v.)
auen-time	eve(n-time (n.)
auer	ever (adv.)
auer-ache	everi (pron.)
auer-æi	everi (pron.)
Auerælc	everi (pron.)
auer-ælche	everi (pron.)
auerælchen	everi (pron.)
auerælcne	everi (pron.)
auer-ælcne	everi (pron.)
auer-alc	everi (pron.)
auer-alche	everi (pron.)
auerde	afered (ppl.)
auerde	aferen (v.)
auere	ever (adv.)
auere-ælche	everi (pron.)
auered	afered (ppl.)
auered	aferen (v.)
auerelcne	everi (pron.)
auere-mære	ever-mo(r (adv.)
auere-mare	ever-mo(r (adv.)
Aueril	april (n.)
auer-mære	ever-mo(r (adv.)
auer-mare	ever-mo(r (adv.)
auerst	afered (ppl.)
auerst	aferen (v.)
Aufrican	Affrican (n.)
Aufrike	Affrik(e (n.)
Augustus	Augustus (n.)
aulchere	ech (pron.)
auon	afon (v.)
auoremeste	ever-mo(r (adv.)
a-uorenon	aforen-on (adv.)
Auormest	avormest (adv. & prep.)
a-uormest	avormest (adv. & prep.)
auornon	aforen-on (adv.)
auote	afote (adv. & pred. adj.)
auoten	afote (adv. & pred. adj.)
a-uoten	afote (adv. & pred. adj.)
aure	ever (adv.)
aure	our(e (pron.)
Aureliæn	Aurelius (n.)
Aurelien	Aurelius (n.)
Aurelius	Aurelius (n.)
Auren	Avon (n.)
Auriliæn	Aurelius (n.)
Aurilian	Aurelius (n.)
Aurilie	Aurelius (n.)
Aurilien	Aurelius (n.)
Aurilies	Aurelius (n.)
Auste	Aust (n.)
Austin	Augustin (n.)
Austine	Augustin (n.)
aute	aughte (n.)
aute	eighte (card. num.)
aute	ouen (v.)
auulled	afallen (v.)
auulled	afillen (v.)
auunde	afinden (v.)
avon	afon (v.)
a-wachede	awaken (v.)
awæi	awei (adv.)
A-wæi	awei (adv.)
awæiward	awei-ward (adv. & pred. adj.)
awæi-ward	awei-ward (adv. & pred. adj.)
awælde	awelden (v.)
awæl?ed	awæl?ed (ppl.)
awæmmed	awemmen (v.)
awæmmen	awemmen (v.)
a-wæsten	awesten (v.)
awæ-wardes	awei-ward (adv. & pred. adj.)
a-waht	awaken (v.)
awai	awei (adv.)
a-wai	awei (adv.)
awaie	awei (adv.)
A-wake	awaken (v.)
awakien	awaken (v.)
awal	wal (n.1) + on
awald	awelden (v.)
awalde	awelden (v.)
a-walde	awelden (v.)
a-walden	awelden (v.)
awalt	awelden (v.)
a-waried	awarien (v.)
awariede	awarien (v.)
awarieden	awarien (v.)
a-warriede	awarien (v.)
awedde	aweden (v.)
awede	aweden (v.)
aweden	aweden (v.)
awehte	awaken (v.)
awehten	awaken (v.)
awei	awei (adv.)
a-wei	awei (adv.)
aweihten	awaken (v.)
aweiward	awei-ward (adv. & pred. adj.)
a-weiward	awei-ward (adv. & pred. adj.)
awelde	awelden (v.)
a-welde	awelden (v.)
awelden	awelden (v.)
awemmed	awemmen (v.)
awend	awenden (v.)
a-wende	awenden (v.)
awene	ouen (adj.)
awere	awarien (v.)
awest	awesten (v.)
a-west	awesten (v.)
aweste	awesten (v.)
a-weste	awesten (v.)
a-wider	awiğer (adv. & prep.)
awiht	ought (pron.)
awilden	awelden (v.)
awinnen	awinnen (v.)
awoc	awaken (v.)
awrağğed	awraşşen (v.)
awræht	awrecchen (v.)
awræke	awreken (v.)
awræken	awreken (v.)
awrake	awreken (v.)
awraken	awreken (v.)
awreke	awreken (v.)
awreken	awreken (v.)
a-wreken	awreken (v.)
awundred	awondren (v.)
awurğe	aworthen (v.2)
awurğede	aworthen (v.1)
Axcetre	Exeter (n.)
axe	asken (v.)
axeğ	asken (v.)
axede	asken (v.)
axeden	asken (v.)
axen	asken (v.)
axes	ax(e (n.1)
axest	asken (v.)
axien	asken (v.)
Azare	Azare (n.)
ba	bo (num.)
Babiloine	Babiloine (n.)
Babilone	Babiloine (n.)
Babilonie	Babiloine (n.)
bache	bach (n.1)
bac-warde	bak-ward (adj.)
bad	bidden (v.)
bağe	bath (n.)
bağe	bathen (v.)
bağe	bothe (num. (as noun, adj., & conj.)
bağede	bathen (v.)
Bağen	Bath (n.)
bağie	bothe (num. (as noun, adj., & conj.)
bağieğ	bathen (v.)
badien	badien (v.)
bağien	bathen (v.)
bæc	bak (n.)
bæc%chen	bach (n.1)
bæch	bach (n.1)
bæche	bach (n.1)
bæcnien	bekenen (v.)
bæd	bæd (n.)
bæd	beden (v.)
bædde	bed (n.1)
bædde	bedden (v.)
bæ?es	bei (n.)
bæfte	bafte(n (adv. & prep.)
bæften	bafte(n (adv. & prep.)
bæh	bouen (v.1)
bæh?en	bouen (v.1)
bæien	bo (num.)
Bæios	bedden (v.)
bæl	bale (adj.)
bælde	bold (adj.)
bælde	bold(e (adj. as n.)
Bæl?es-?ate	Balyesgate (n.)
bælh	belwen (v.)
bælu	bale (adj.)
bæmen	bem (n.)
bænde	bond (n.)
bær	beren (v.1)
bær	beren (v.2)
bærd	berd (n.1)
bærde	berd (n.1)
bære	ber(e (n.8)
bære	bern (n.1)
bæren	barn (n.)
bærm	barm (n.)
bærn	beren (v.1)
bærn	beren (v.2)
bærnen	brennen (v.)
bærninde	brennen (v.)
bærn-les	barnles (adj.)
bæt	bet (adv. & adj.)
bæt	bot (n.1)
bæten	beten (v.2)
bæzsten	best (adj. as n.)
bafte	bafte(n (adv. & prep.)
baften	bafte(n (adv. & prep.)
bah	bouen (v.1)
baid	bed (n.1)
bai?es	bei (n.)
Bailenes	Bedra
Bal	bouen (v.1)
bal%lu	bale (adj.)
bal%lu	bale (n.1)
bald	bold (adj.)
bald	bold(e (adj. as n.)
balde	bold (adj.)
balde	bold(e (adj. as n.)
balde-fulle	boldful (adj. & adv.)
baldeliche	boldeli(che (adv.)
balde-liche	boldeli(che (adv.)
balden	bold (adj.)
balden	bold(e (adj. as n.)
balder	bold (adj.)
balder	bold(e (adj. as n.)
baldere	bold (adj.)
baldere	bold(e (adj. as n.)
baldest	bold (adj.)
baldest	bold(e (adj. as n.)
baldne	bold (adj.)
baldne	bold(e (adj. as n.)
Baldolf	Baldulf (n.)
baldre	bold (adj.)
Baldric	Baldric
Baldulf	Baldulf (n.)
Baldulfe	Baldulf (n.)
Baldulfes	Baldulf (n.)
bale	bale (adj.)
bale	bale (n.1)
bale-siğe	bale-siş (n.)
bale-siğes	bale-siş (n.)
balew	bale (n.1)
balewe	bale (n.1)
balewen	bale (n.1)
Balien	Balien
balles	bal (n.)
ballu	bale (n.1)
balluw	bale (n.1)
balu	bale (adj.)
balu	bale (n.1)
baluæ	bale (n.1)
baluen	bale (n.1)
balu-fulle	baleful (adj.)
balu-ræsen	balu-res (n.)
balu-ræssen	balu-res (n.)
balu-reses	balu-res (n.)
baluw	bale (n.1)
baluwe	bale (n.1)
baluwen	bale (n.1)
baluwene	bale (n.1)
baluwenen	bale (n.1)
balwe	bale (n.1)
ban	ban (n.)
bane	ban (n.)
banen	ban (n.)
banen	both, within
banes	ban (n.)
Bangor	Bangor (n.)
banneğ	bannen (v.)
bannede	bannen (v.)
bannen	bannen (v.)
bar	beren (v.1)
Barbe-fleot	Barfleet (n.)
Barbe-fleote	Barfleet (n.)
barden	brennen (v.)
Bardun	Bardun
bare	bor (n.)
baren	barn (n.)
bares	bor (n.)
bar-fot	bar-fot (adj. & adv.)
barh	borgh (n.)
barme	barm (n.)
barnde	brennen (v.)
barnden	brennen (v.)
barninge	brennen (v.)
Barri	Berry (n.)
barunes	baron (n.)
Basian	Basian
Basiane	Basian
Basianes	Basian
bat	biten (v.1)
baten	bot (n.1)
be	be (n.)
bead	bidden (v.)
beadde	bed (n.1)
beærn	barn (n.)
beam	bem (n.)
bear	beren (v.1)
beard	berd (n.1)
bearn	barn (n.)
bearne	barn (n.)
bearneğ	brennen (v.)
bearnen	brennen (v.)
beberene	biberen (v.)
bed	bed (n.1)
bed	bidden (v.)
beğ	ben (v.)
beğ	bettre (adj.)
beğ	bettre (adv.)
beğ	bettre (n.)
Beda	Bede (n.)
bedde	bed (n.1)
bedde	bidden (v.)
bedden	bed (n.1)
bedden	bidden (v.)
beddien	bedden (v.)
bede	bed(e (n.)
bede	bidden (v.)
beden	bed(e (n.)
beden	biden (v.)
Bedeuer	Bedevere (n.)
Beğleem	Bethlehem
Bedra	Bedra
Beduer	Bedevere (n.)
Beğuer	Bedevere (n.)
Beduer%res	Bedevere (n.)
Beduwear	Bedevere (n.)
Bedver	Bedevere (n.)
beere	beren (v.1)
beh	bei (n.)
beh	bouen (v.1)
beh?es	bei (n.)
bei	beien (v.)
beide	beien (v.)
beie	bo (num.)
bei?e	bei (n.)
bei?en	bei (n.)
bei?ene	bei (n.)
beien	ben (v.)
beien	bo (num.)
beiene	bo (num.)
beienliche	beienliche (adj.)
beine	bo (num.)
beinen	bei (n.)
beire	bern (n.1)
Belan	Belan (n.)
belden	belden (v.)
Bel?æs-?ate	Balyesgate (n.)
Belin	Belin (n.)
Beline	Bedra
Belinne	Bedra
Belinnes	Bedra
belle	bal (n.)
bellen	bal (n.)
beme	beme (n.1)
bemen	beme (n.1)
bemene	beme (n.1)
benche	bench(e (n.)
bende	bond (n.)
benden	bond (n.)
bendes	bond (n.)
benedicite	Benedict
Benediht	Benedict
Beniamin	Benjamin (n.)
beo	ben (v.)
beoğ	ben (v.)
beode	beode (n.)
beodeğ	biden (v.)
beoden	bed(e (n.)
beoden	bidden (v.)
beodest	biden (v.)
beo?ie	bo?ien (v.)
Beof	Beof (n.)
beoh	bouen (v.1)
beoken	bok (n.1)
beomen	beme (n.1)
beon	ben (v.)
beondes	bond (n.)
beone	bane (n.)
beonnede	bannen (v.)
beonneden	bannen (v.)
beonnen	bannen (v.)
beonste	biwist (n.)
beord	bord (n.)
beorde	bearde (n.)
beore	ber (n.)
beore	ber(e (n.1)
beor?en	bergh (n.)
beoren	beren (v.1)
beoren	beren (v.2)
beorkeğ	berken (v.)
beorkes	beorkes - meaning unknown
beorn	bern (n.1)
beorn%nen	bern (n.1)
beorn%nes	bern (n.1)
beorne	bern (n.1)
beornen	bern (n.1)
beornes	bern (n.1)
beornnen	bern (n.1)
beorste	bresten (v.)
beost	ben (v.)
beot	beot (n.)
beote	beot (n.)
beoteden	beotien (v.)
beoten	but (conj. (also as quasi adj., adv., and prep.)
beoş	ben (v.)
beoueden	bivien (v.)
beouien	bivien (v.)
beoveden	bivien (v.)
ber	beren (v.1)
ber-cnihtes	ber-knight (n.)
bere	ber(e (n.1)
bereğ	beren (v.1)
bereğ	beren (v.2)
beren	ber(e (n.8)
beren	beren (v.1)
beren	beren (v.2)
beres	ber(e (n.1)
berh?e	burgh (n.1)
bermannen	ber(e)-man (n.)
bermen	ber(e)-man (n.)
bermonnen	ber(e)-man (n.)
bern	barn (n.)
berne	beren (v.1)
berne	beren (v.2)
berneğ	brennen (v.)
bernen	brennen (v.)
bernenne	brennen (v.)
bernes	bern (n.1)
berninde	brennen (v.)
berninge	brennen (v.)
berste	bresten (v.)
Bertruc	Bertruc (n.)
best	ben (v.)
beste	best (adj. as n.)
bet	bet (adv. & adj.)
beten	beten (v.1)
betere	bettre (adj.)
betere	bettre (adv.)
betere	bettre (n.)
beteren	bettre (adj.)
beteren	bettre (adv.)
beteren	bettre (n.)
beth	bettre (adj.)
beth	bettre (adv.)
beth	bettre (n.)
bett	bettre (adj.)
bett	bettre (adv.)
bett	bettre (n.)
bette	beten (v.2)
Bettere	bettre (adj.)
Bettere	bettre (adv.)
Bettere	bettre (n.)
beute	but (conj. (also as quasi adj., adv., and prep.)
beyne	bei (n.)
bezst	best (adj. as n.)
bezste	best (adj. as n.)
bezsten	best (adj. as n.)
beztse	best (adj. as n.)
bi	bi (prep.)
biæften	bafte(n (adv. & prep.)
bi-æften	bi-aften (adv. & prep.)
biaften	bafte(n (adv. & prep.)
bi-arnde	birinnen (v.)
bi-bæh	bibu?en (v.)
bibah	bibu?en (v.)
bi-berh	biberh (v. (p.t.)
bi-bo?en	bibu?en (v.)
bibu?en	bibu?en (v.)
bi-burden	biburien (v.)
bibured	biburien (v.)
bi-bured	biburien (v.)
bi-burede	biburien (v.)
bi-bur?eden	biburien (v.)
bi-buride	biburien (v.)
biburied	biburien (v.)
bi-buried	biburien (v.)
biburiede	biburien (v.)
bi-buri?ede	biburien (v.)
bi-burien	biburien (v.)
bicharreğ	bicherren (v.)
bi-charren	bicherren (v.)
bi-cherrest	bicherren (v.)
bi-clupte	biclippen (v.)
biclusde	biclosen (v.)
biclusden	biclosen (v.)
biclused	biclosen (v.)
bi-clused	biclosen (v.)
bi-cluseğ	biclosen (v.)
bi-clusen	biclosen (v.)
bicom	bicomen (v.)
bi-com	bicomen (v.)
bicome	bicomen (v.)
bicomen	bicomen (v.)
bi-comen	bicomen (v.)
bicum	bicomen (v.)
Bi-cum	bicomen (v.)
bicume	bicomen (v.)
bi-cume	bicomen (v.)
bicumeğ	bicomen (v.)
bicumen	bicomen (v.)
bi-cumen	bicomen (v.)
biğ	ben (v.)
bidælde	bideled (ppl.)
bidæled	bideled (ppl.)
bi-dæled	bideled (ppl.)
bidaled	bideled (ppl.)
bidde	bidden (v.)
biddeğ	bidden (v.)
biddeh	bidden (v.)
bidden	bidden (v.)
biddinde	bidden (v.)
bide	biden (v.)
bi-delde	bideled (ppl.)
bideled	bideled (ppl.)
bi-deled	bideled (ppl.)
biden	biden (v.)
Biğenc	bithinken (v.)
bi-ğenc	bithinken (v.)
biğenche	bithinken (v.)
Biğencheğ	bithinken (v.)
bi-ğenchen	bithinken (v.)
bi-diemden	bidemen (v.)
biğoğte	bithinken (v.)
bi-ğoğte	bithinken (v.)
bi-ğoht	bithinken (v.)
biğohte	bithinken (v.)
bi-ğohte	bithinken (v.)
bi-ğohten	bithinken (v.)
bi-driuene	bidriven (ppl.)
bi-ğrungen	bişrungen (ppl.)
bi?æt	biyeten (v.)
bi-?æt	biyeten (v.)
bi?æte	biyeten (v.)
bi?æten	biyeten (v.)
bi-?æten	biyeten (v.)
bi?at	biyeten (v.)
bi?ate	biyeten (v.)
bi?eat	biyeten (v.)
Bi-?ende	biyonde (adv.)
bi?eonde	biyond(e (prep.)
bi-?eonde	biyonde (adv.)
bi?eonden	biyond(e (prep.)
bi-?eonden	biyonde (adv.)
bi-?eonge	biyonde (adv.)
bi-?eoten	biyeten (v.)
bi?et	biyeten (v.)
bi-?et	biyeten (v.)
bi?ete	biyete (n.)
bi?ete	biyeten (v.)
bi-?ete	biyeten (v.)
bi-?eteğ	biyeten (v.)
bi?eten	biyeten (v.)
bi-?eten	biyeten (v.)
bi?etene	biyeten (v.)
bi-?etten	biyeten (v.)
bi?innest	biginnen (v.)
bi?ite	biyeten (v.)
bi?iteğ	biyeten (v.)
bi?iten	biyeten (v.)
bi-?iten	biyeten (v.)
bi-eode	bigon (v.)
bieorn	birinnen (v.)
bi-?utten	biyeten (v.)
bi-feng	bifon (v.)
bifeong	bifon (v.)
bi-feoren	bifore(n (adv.)
bi-feoren	bifore(n (conj.)
bi-feoren	bifore(n (prep.)
bifledde	bifleden (v.)
bifore	bifore(n (adv.)
bifore	bifore(n (conj.)
bifore	bifore(n (prep.)
Bi-fore	bifore(n (adv.)
Bi-fore	bifore(n (conj.)
Bi-fore	bifore(n (prep.)
biforen	bifore(n (adv.)
biforen	bifore(n (conj.)
biforen	bifore(n (prep.)
bi-foren	bifore(n (adv.)
bi-foren	bifore(n (conj.)
bi-foren	bifore(n (prep.)
bi-gæğ	bigon (v.)
bi-gan	bigon (v.)
bi-georede	bigeored (ppl.)
bigin	biginnen (v.)
biginne	biginnen (v.)
biginneğ	biginnen (v.)
bi-ginneğ	biginnen (v.)
biginnen	biginnen (v.)
bi-ginnen	biginnen (v.)
bigolen	bigalen (v.)
bigon	biginnen (v.)
bi-gon	bigon (v.)
bi-gonnen	biginnen (v.)
bigunne	biginnen (v.)
bigunnen	biginnen (v.)
bi-gunnen	biginnen (v.)
bigunnnen	biginnen (v.)
bihædde	biheden (v.)
bihæhte	bihoten (v.)
bi-hæhte	bihoten (v.)
bihæhtest	bihoten (v.)
bi-hæihten	bihoten (v.)
bihælde	bihelden (v.)
bi-hæluen	bihalve(n (adv.)
bihælues	bihalve(s (prep.)
bi-hælues	bihalve(n (adv.)
bihæste	bihest(e (n.)
bi-hæten	bihoten (v.)
bihafdi	bihev(e)den (v.)
bihahte	bihoten (v.)
bi-hahte	bihoten (v.)
bi-hald	biholden (v.)
bihalde	bihelden (v.)
bi-halde	biholden (v.)
bi-haldeğ	biholden (v.)
bihalden	bihelden (v.)
bi-halden	biholden (v.)
bi-haldest	biholden (v.)
bihalfues	bihalve(n (adv.)
bi-halfues	bihalve(n (adv.)
bi-halue	bihalve(n (adv.)
bihaluen	bihalve(n (adv.)
bi-haluen	bihalve(n (adv.)
bihalues	bihalve(n (adv.)
bi-halues	bihalve(n (adv.)
bi-hangen	bihon (v.)
Bihate	bihoten (v.)
bi-hate	bihoten (v.)
bihateğ	bihoten (v.)
bi-hateğ	bihoten (v.)
bihaten	bihoten (v.)
bi-hatet	bihoten (v.)
bi-hedda	biheden (v.)
bihedde	biheden (v.)
bi-hedde	biheden (v.)
bihehte	bihoten (v.)
bi-hehte	bihoten (v.)
bi-hehten	bihoten (v.)
bi-heihte	bihoten (v.)
biheite	bihoten (v.)
bi-heite	bihoten (v.)
biheold	bihelden (v.)
bi-heold	biholden (v.)
biheolde	bihelden (v.)
biheolden	bihelden (v.)
bi-heolden	biholden (v.)
bi-heovede	bihev(e)den (v.)
biheste	bihest(e (n.)
bihete	bihoten (v.)
bi-hette	bihoten (v.)
biheyte	bihoten (v.)
bi-hihte	bihoten (v.)
bihinde	bihon (v.)
bi-hinde	bihinde (prep.)
bihinden	bihon (v.)
bi-hinden	bihinde (prep.)
biho?eden	biho?ien (v.)
bihofede	bihev(e)den (v.)
bi-hold	biholden (v.)
bi-hon	bihon (v.)
bihonge	bihon (v.)
bihonged	bihon (v.)
bi-honged	bihon (v.)
bihongen	bihon (v.)
bi-hongen	bihon (v.)
bihoue	bihev(e)den (v.)
bihoue	bihove (n. (orig. dat.)
bi-houe	bihove (n. (orig. dat.)
bihoueğ	bihev(e)den (v.)
bi-houeğ	bihove (n. (orig. dat.)
bihouede	bihev(e)den (v.)
bi-houede	bihove (n. (orig. dat.)
bi-hulden	biholden (v.)
bil	bil (n.)
bilæde	bileden (v.)
bilæfde	bileven (v.1)
bi-læfde	bileven (v.1)
bilæfden	bileven (v.1)
bi-læfden	bileven (v.1)
bi-læfdes	bileven (v.2)
bilæfen	bileven (v.1)
bilæfued	bileven (v.1)
bilæfuen	bileven (v.1)
bilæi	bilien (v.1)
bi-læi	bilien (v.1)
bilæie	bilien (v.1)
bilæien	bilien (v.1)
bi-læien	bilien (v.1)
bilæiued	bileven (v.1)
bilæiuen	bileven (v.2)
bilæue	bileven (v.1)
bilæued	bileven (v.1)
bi-læued	bileven (v.1)
bilæueğ	bileven (v.1)
bi-læueğ	bileven (v.1)
bilæuen	bileven (v.1)
bi-læuen	bileven (v.1)
bi-læuet	bileven (v.1)
bilafde	bileven (v.1)
bi-lafde	bileven (v.1)
bilafden	bileven (v.1)
bi-lafden	bileven (v.1)
bi-lafuen	bileven (v.1)
bilai	bilien (v.1)
bi-lai	bilien (v.1)
bilaie	bilien (v.1)
bi-laiuen	bileven (v.1)
bilaste	bilaste (v. p.t.)
bilaue	bileven (v.1)
bilaueğ	bileven (v.1)
bilauen	bileven (v.1)
bi-lauen	bileven (v.1)
Bi-leæf	bileven (v.1)
bi-leæfde	bileven (v.1)
bi-leæfden	bileven (v.1)
bileæfue	bileven (v.1)
bi-leafest	bileven (v.1)
bi-leafuen	bileven (v.1)
bi-leauen	bileven (v.1)
bilef	bileven (v.1)
bi-lef	bileven (v.1)
bilefde	bileven (v.1)
bi-lefde	bileven (v.1)
bilefden	bileven (v.1)
bi-lefden	bileven (v.1)
bilefed	bileven (v.1)
bi-lefen	bileven (v.1)
bilefued	bileven (v.1)
bi-lefuen	bileven (v.1)
bileien	bilien (v.1)
bi-leien	bilien (v.1)
bileofuen	bileven (v.1)
bi-leouede	biloven (v.)
bileued	bileven (v.1)
bileuen	bileven (v.1)
bi-leuen	bileven (v.1)
bilife	bilives (adv.)
bilifes	bilives (adv.)
bi-lifes	bilives (adv.)
biliggen	bileggen (v.)
bi-liggen	bilien (v.1)
bi-limien	bilimen (v.)
biliue	bilives (adv.)
biliue	blive (adv.)
bi-liue	bilives (adv.)
bi-liueğ	bileven (v.2)
biliues	bilives (adv.)
biliues	blive (adv.)
bi-loueğ	biloven (v.)
bilufde	bileven (v.2)
bi-lufde	biloven (v.)
bilufeden	bileven (v.2)
biluuede	bileven (v.2)
biluuede	biloven (v.)
biluueden	bileven (v.2)
biluueden	biloven (v.)
bi-luueden	biloven (v.)
bi-luuie	biloven (v.)
biluuieğ	biloven (v.)
bi-luuieğ	biloven (v.)
biluuien	biloven (v.)
binam	binimen (v.)
binde	bond (n.)
binden	bond (n.)
binen	binne (adv. & prep.)
bi-neoğe	binethe(n (adv.)
bi-neoğe	binethe(n (prep.)
bi-neoğen	binethe(n (adv.)
bi-neoğen	binethe(n (prep.)
bineoşen	bineth(e-forth (adv.)
binim	binimen (v.)
binimeğ	binimen (v.)
binimen	binimen (v.)
bi-nimen	binimen (v.)
binimest	binimen (v.)
bi-nimest	binimen (v.)
binne	binne (adv. & prep.)
binnen	binne (adv. & prep.)
bi-noğen	binethe(n (adv.)
bi-noğen	binethe(n (prep.)
binom	binimen (v.)
bi-nom	binimen (v.)
bi-nome	binimen (v.)
binomen	binimen (v.)
bi-nomen	binimen (v.)
binume	binimen (v.)
binumen	binimen (v.)
bi-numen	binimen (v.)
binward	bin-ward (adv.)
bi-pechen	bipechen (v.)
biqueğ	biquethen (v.)
bi-queğe	biquethen (v.)
biræd	bireden (v.)
biræde	bireden (v.)
bi-ræde	bireden (v.)
biræden	bireden (v.)
biræfued	bireven (v.)
